Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2023-10-16,"Oct 16, 2023",176.75,179.08,176.51,178.72,178.48,52517000
2023-10-13,"Oct 13, 2023",181.42,181.93,178.14,178.85,178.61,51427100
2023-10-12,"Oct 12, 2023",180.07,182.34,179.04,180.71,180.47,56743100
2023-10-11,"Oct 11, 2023",178.20,179.85,177.60,179.80,179.56,47551100
2023-10-10,"Oct 10, 2023",178.10,179.72,177.95,178.39,178.16,43698000
2023-10-09,"Oct 09, 2023",176.81,179.05,175.80,178.99,178.75,42390800
2023-10-06,"Oct 06, 2023",173.80,177.99,173.18,177.49,177.26,57224100
2023-10-05,"Oct 05, 2023",173.79,175.45,172.68,174.91,174.68,48527900
2023-10-04,"Oct 04, 2023",171.09,174.21,170.97,173.66,173.43,53020300
2023-10-03,"Oct 03, 2023",172.26,173.63,170.82,172.40,172.17,49594600
2023-10-02,"Oct 02, 2023",171.22,174.30,170.93,173.75,173.52,52164500
2023-09-29,"Sep 29, 2023",172.02,173.07,170.34,171.21,170.98,51814200
2023-09-28,"Sep 28, 2023",169.34,172.03,167.62,170.69,170.47,56294400
2023-09-27,"Sep 27, 2023",172.62,173.04,169.05,170.43,170.21,66921800
2023-09-26,"Sep 26, 2023",174.82,175.20,171.66,171.96,171.73,64588900
2023-09-25,"Sep 25, 2023",174.20,176.97,174.15,176.08,175.85,46172700
2023-09-22,"Sep 22, 2023",174.67,177.08,174.05,174.79,174.56,56725400
2023-09-21,"Sep 21, 2023",174.55,176.30,173.86,173.93,173.7,63047900
2023-09-20,"Sep 20, 2023",179.26,179.70,175.40,175.49,175.26,58436200
2023-09-19,"Sep 19, 2023",177.52,179.63,177.13,179.07,178.83,51826900
2023-09-18,"Sep 18, 2023",176.48,179.38,176.17,177.97,177.74,67257600
2023-09-15,"Sep 15, 2023",176.48,176.50,173.82,175.01,174.78,109205100
2023-09-14,"Sep 14, 2023",174.00,176.10,173.58,175.74,175.51,60895800
2023-09-13,"Sep 13, 2023",176.51,177.30,173.98,174.21,173.98,84267900
2023-09-12,"Sep 12, 2023",179.49,180.13,174.82,176.30,176.07,90370200
2023-09-11,"Sep 11, 2023",180.07,180.30,177.34,179.36,179.12,58953100
2023-09-08,"Sep 08, 2023",178.35,180.24,177.79,178.18,177.95,65551300
2023-09-07,"Sep 07, 2023",175.18,178.21,173.54,177.56,177.33,112488800
2023-09-06,"Sep 06, 2023",188.40,188.85,181.47,182.91,182.67,81755800
2023-09-05,"Sep 05, 2023",188.28,189.98,187.61,189.70,189.45,45280000
2023-09-01,"Sep 01, 2023",189.49,189.92,188.28,189.46,189.21,45732600
2023-08-31,"Aug 31, 2023",187.84,189.12,187.48,187.87,187.62,60794500
2023-08-30,"Aug 30, 2023",184.94,187.85,184.74,187.65,187.4,60813900
2023-08-29,"Aug 29, 2023",179.70,184.90,179.50,184.12,183.88,53003900
2023-08-28,"Aug 28, 2023",180.09,180.59,178.55,180.19,179.95,43820700
2023-08-25,"Aug 25, 2023",177.38,179.15,175.82,178.61,178.38,51449600
2023-08-24,"Aug 24, 2023",180.67,181.10,176.01,176.38,176.15,54945800
2023-08-23,"Aug 23, 2023",178.52,181.55,178.33,181.12,180.88,52722800
2023-08-22,"Aug 22, 2023",177.06,177.68,176.25,177.23,177.0,42084200
2023-08-21,"Aug 21, 2023",175.07,176.13,173.74,175.84,175.61,46311900
2023-08-18,"Aug 18, 2023",172.30,175.10,171.96,174.49,174.26,61114200
2023-08-17,"Aug 17, 2023",177.14,177.51,173.48,174.00,173.77,66062900
2023-08-16,"Aug 16, 2023",177.13,178.54,176.50,176.57,176.34,46964900
2023-08-15,"Aug 15, 2023",178.88,179.48,177.05,177.45,177.22,43622600
2023-08-14,"Aug 14, 2023",177.97,179.69,177.31,179.46,179.22,43675600
2023-08-11,"Aug 11, 2023",177.32,178.62,176.55,177.79,177.56,51988100
2023-08-10,"Aug 10, 2023",179.48,180.75,177.60,177.97,177.5,54686900
2023-08-09,"Aug 09, 2023",180.87,180.93,177.01,178.19,177.72,60378500
2023-08-08,"Aug 08, 2023",179.69,180.27,177.58,179.80,179.32,67823000
2023-08-07,"Aug 07, 2023",182.13,183.13,177.35,178.85,178.37,97576100
2023-08-04,"Aug 04, 2023",185.52,187.38,181.92,181.99,181.51,115799700
2023-08-03,"Aug 03, 2023",191.57,192.37,190.69,191.17,190.66,61235200
2023-08-02,"Aug 02, 2023",195.04,195.18,191.85,192.58,192.07,50389300
2023-08-01,"Aug 01, 2023",196.24,196.73,195.28,195.61,195.09,35175100
2023-07-31,"Jul 31, 2023",196.06,196.49,195.26,196.45,195.93,38824100
